Регион,Год,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Алтайский край,2022,272.4911969380009,29422,3.4,3.7520636974065162,19.1,5.8168,73.46,55.3,14.0,16.5,19.1,15.0
Амурская область,2022,215.6973165525099,44133,3.5,0.0,18.5,8.8967,70.92,58.6,14.0,16.2,18.5,14.7
Архангельская область,2022,278.53508262551304,43688,5.7,5.957650600031123,17.7,9.5979,74.27,56.1,13.0,14.7,17.7,14.1
Астраханская область,2022,239.09656995610646,29867,6.7,7.818593140326254,16.4,4.8719,75.67,56.2,11.3,13.6,16.4,12.3
Белгородская область,2022,261.44411916697146,40842,3.6,11.503680009727791,18.2,5.4133,75.63,56.9,13.3,15.6,18.2,14.3
Брянская область,2022,266.77886204690736,35385,2.9,9.435625145938026,20.3,6.1293,74.26,56.5,14.7,17.0,20.3,15.6
Владимирская область,2022,273.201041546376,32545,2.2,8.74943817589882,21.5,8.2806,73.74,55.8,15.6,18.3,21.5,17.1
Волгоградская область,2022,254.77293076723117,31598,3.2,6.319342608971144,18.9,4.6955,75.6,57.1,13.1,15.9,18.9,14.1
Вологодская область,2022,252.7177923163953,35437,3.3,5.739657242287157,18.4,9.4443,73.88,55.4,14.1,15.7,18.4,14.5
Воронежская область,2022,270.6485707349507,39587,3.2,7.707115022702705,20.3,5.6657,75.52,56.7,14.1,16.5,20.3,15.5
г.Москва,2022,255.9560314667718,99873,2.2,10.089585132573383,13.6,5.531,79.43,57.8,9.5,11.9,13.6,10.1
г.Санкт-Петербург,2022,244.92164290620616,64519,2.1,9.316873593101501,15.6,6.8649,77.68,57.9,11.0,13.6,15.6,12.1
г.Севастополь,2022,225.7732184739484,37126,4.0,9.01629467715474,14.7,6.5713,75.17,58.5,13.0,13.2,14.7,11.9
Еврейская автономная область,2022,219.9491910683246,33423,5.5,0.480418675761495,18.0,9.7958,70.56,58.0,14.2,15.9,18.0,14.8
Забайкальский край,2022,199.49626194378922,32875,7.8,1.068059223133588,15.8,5.5834,71.34,58.3,12.4,13.7,15.8,13.2
Ивановская область,2022,287.3022159603685,31581,3.1,8.957295943836307,20.5,7.5651,73.68,56.4,15.8,17.7,20.5,16.4
Иркутская область,2022,211.68234362776064,34820,4.6,4.960111659909295,17.7,7.0248,71.6,56.7,13.2,15.0,17.7,14.2
Кабардино-Балкарская Республика,2022,190.19437422733537,30843,9.8,12.511521900894572,10.8,0.874,77.78,58.7,8.3,10.1,10.8,9.2
Калининградская область,2022,238.2201771326089,34115,3.2,8.725289563628493,15.6,7.2729,75.29,58.3,11.8,13.2,15.6,12.8
Калужская область,2022,247.19264441156415,37285,3.4,6.5579561432298625,19.3,7.1905,74.27,56.7,14.6,17.3,19.3,15.2
Камчатский край,2022,204.73452870043133,63930,1.9,3.613732646136171,14.3,10.5591,72.72,62.1,11.0,12.7,14.3,12.3
Карачаево-Черкесская Республика,2022,213.1759810358647,22061,10.3,11.465528393629835,12.1,1.4181,77.58,58.6,9.1,10.8,12.1,9.6
