Регион,Год,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
Алтайский край,2019,279.542511868796,23993,5.4,15.9939577039275,330.5,5.6216,72.08,53.1,14.1,14.0,14.2,14.0,16.5
Амурская область,2019,234.177215189873,33304,5.2,24.693670886076,288.6,7.2232,69.29,56.2,13.7,13.4,13.4,14.0,16.2
Архангельская область,2019,272.095070422535,35724,6.2,16.8573943661972,303.6,8.4267,72.97,54.0,13.5,13.0,13.1,13.0,14.7
Астраханская область,2019,248.409542743539,24971,7.2,13.0318091451292,281.8,4.4266,74.52,54.9,12.0,11.4,11.6,11.3,13.6
Белгородская область,2019,281.794706262105,32398,3.8,9.17043253712072,321.5,4.9824,74.47,54.9,13.9,13.5,13.5,13.3,15.6
Брянская область,2019,285.750209555742,28422,3.4,12.0444258172674,202.4,5.5272,72.97,54.5,15.6,15.3,15.2,14.7,17.0
Владимирская область,2019,300.073637702504,25391,4.4,12.3615611192931,303.7,7.6111,72.4,53.5,16.5,15.7,16.0,15.6,18.3
Волгоградская область,2019,280.369329586511,24160,5.4,16.508229626656,434.0,4.2121,74.44,54.9,13.7,13.1,13.3,13.1,15.9
Вологодская область,2019,271.206896551724,28418,4.5,15.2810344827586,337.7,8.6546,72.54,53.6,15.0,14.4,14.4,14.1,15.7
Воронежская область,2019,293.545611015491,32022,4.2,13.2564543889845,355.4,4.9702,74.36,54.9,15.2,14.6,14.7,14.1,16.5
г.Москва,2019,275.840037860861,75891,1.5,11.2068938318347,297.5,5.9065,78.66,57.0,10.0,9.6,9.7,9.5,11.9
г.Санкт-Петербург,2019,271.859948128937,47472,1.5,9.00833642089663,303.4,6.9536,76.74,57.0,11.7,11.4,11.1,11.0,13.6
г.Севастополь,2019,268.37416481069,30261,3.8,9.43875278396437,302.7,7.0628,73.97,55.6,13.9,13.1,12.8,13.0,13.2
Еврейская автономная область,2019,236.075949367089,26602,6.2,22.5,242.8,8.4527,68.9,55.6,15.2,13.3,13.7,14.2,15.9
Забайкальский край,2019,209.716981132076,25750,9.1,22.238679245283,283.9,5.1694,69.75,56.3,12.3,11.7,12.3,12.4,13.7
Ивановская область,2019,295.486459378134,25794,3.6,13.9358074222668,296.7,6.7099,72.33,54.1,16.1,15.9,16.1,15.8,17.7
Иркутская область,2019,232.245922208281,26355,6.7,19.2091175240485,254.9,6.9209,70.04,54.9,13.4,12.9,13.1,13.2,15.0
Кабардино-Балкарская Республика,2019,208.640552995392,21474,11.1,8.63018433179724,272.6,0.886,76.84,57.4,8.6,8.5,8.2,8.3,10.1
Калининградская область,2019,254.689042448174,29098,4.1,14.7196446199408,376.7,6.2707,74.1,56.5,12.5,12.5,12.2,11.8,13.2
Калужская область,2019,288.634097706879,31417,3.8,15.5483549351944,317.5,7.2471,72.98,54.4,15.0,14.8,14.9,14.6,17.3
Камчатский край,2019,210.862619808307,52674,3.9,18.4600638977636,509.6,9.6091,71.27,60.2,11.5,11.0,11.3,11.0,12.7
Карачаево-Черкесская Республика,2019,227.682403433476,18977,10.7,9.77038626609442,200.0,2.0937,76.62,56.7,9.5,9.2,9.0,9.1,10.8
Кемеровская область,2019,262.490594431904,24890,4.9,20.2287434161023,312.6,6.516,70.4,54.3,14.3,14.1,14.4,14.2,16.2
Кировская область,2019,300.712589073634,23684,4.4,15.1306413301663,279.7,7.9953,73.81,51.9,14.9,14.5,14.9,14.3,16.8
Костромская область,2019,289.415481832543,25318,3.9,13.044233807267,293.4,7.5228,72.7,52.7,15.6,14.9,14.9,14.7,16.7
Краснодарский край,2019,263.442565186751,36604,4.8,12.6124031007752,305.3,4.9068,74.38,54.6,12.9,12.5,12.0,12.3,14.5
Красноярский край,2019,234.612700628053,31755,4.7,16.235170969993,297.0,5.2641,71.74,56.7,12.5,12.3,12.4,12.2,14.3
Курганская область,2019,300.362756952842,21304,7.7,20.6783555018138,349.8,5.1585,71.81,50.8,15.9,15.2,15.5,15.2,17.4
Курская область,2019,294.746376811594,29149,3.8,11.9592391304348,312.1,4.7328,73.03,53.7,16.1,15.5,15.4,15.0,17.7
Ленинградская область,2019,275.746268656716,32371,3.7,12.9600213219616,323.0,8.961,74.03,56.5,14.0,13.3,12.9,12.5,14.9
Липецкая область,2019,292.098331870061,32535,3.7,10.694468832309,347.6,5.2849,73.55,53.7,15.2,14.7,14.5,14.3,17.8
Магаданская область,2019,222.142857142857,65367,4.5,20.6071428571429,367.3,10.6641,70.28,59.1,11.4,11.4,11.4,11.6,12.5
Московская область,2019,247.705109868678,47513,2.6,10.0180730724223,355.3,9.4755,74.39,57.0,13.0,12.3,12.2,12.0,14.5
Мурманская область,2019,228.34008097166,44261,5.6,16.3522267206478,328.4,9.6603,72.43,58.6,11.5,11.1,11.3,11.4,13.5
Нижегородская область,2019,285.451139556666,33874,4.1,13.4339681548548,360.3,7.1135,72.84,54.5,15.4,14.7,15.0,14.6,17.3
Новгородская область,2019,303.182579564489,26193,4.2,18.2730318257956,327.0,7.5569,71.42,52.1,17.5,17.1,16.7,16.4,18.2
Новосибирская область,2019,253.466761972838,30566,5.8,17.9438884917798,320.2,5.8135,72.81,55.7,13.0,12.9,13.0,12.7,15.3
Омская область,2019,258.640373637779,26970,6.4,12.9050337311884,260.7,4.1525,73.05,54.7,13.2,12.9,12.9,12.6,15.6
Оренбургская область,2019,258.712314767501,24497,4.4,13.6903423607563,380.0,4.6482,72.5,54.0,13.5,13.3,13.3,13.0,16.3
Орловская область,2019,301.089918256131,26184,6.6,12.2057220708447,329.9,5.2343,72.76,53.6,16.4,15.8,15.8,15.3,18.4
Пензенская область,2019,305.2067381317,22990,4.2,9.89509954058193,320.4,5.5319,74.44,53.8,14.5,14.1,14.5,14.0,17.5
Пермский край,2019,253.32820315506,30618,5.3,16.5259715275106,338.3,6.6926,71.83,54.4,13.8,13.3,13.5,13.2,15.5
Приморский край,2019,251.529535864979,36884,5.5,16.3950421940928,443.0,7.8955,71.26,57.0,13.6,13.3,13.4,13.6,15.4
Псковская область,2019,304.632587859425,25525,5.2,13.1086261980831,383.6,7.2374,71.28,53.0,17.9,17.4,17.2,16.8,19.0
Республика Адыгея,2019,255.075593952484,29139,8.2,10.170626349892,438.7,6.4231,74.16,54.3,12.9,12.6,12.3,12.3,13.3
Республика Алтай,2019,188.181818181818,20256,12.8,19.4,200.5,4.9407,71.28,52.9,9.9,9.7,10.1,10.1,11.3
Республика Башкортостан,2019,246.904408122833,30603,4.4,13.7065378900446,358.3,5.7925,73.2,54.9,12.9,12.4,12.4,12.1,15.0
Республика Бурятия,2019,205.375253549696,25302,9.2,22.4452332657201,258.4,5.8263,71.17,54.8,11.2,10.7,10.7,11.0,12.0
Республика Дагестан,2019,142.719382835101,27410,13.0,4.38026358084217,202.6,0.7307,79.64,59.8,5.2,5.1,4.8,4.8,6.3
Республика Ингушетия,2019,130.571992110454,16614,26.8,3.55029585798817,185.8,0.1445,83.67,58.2,3.3,3.2,3.1,3.0,3.8
Республика Калмыкия,2019,231.365313653137,18508,9.1,10.3210332103321,327.3,3.1537,75.03,55.1,9.8,9.9,9.7,9.4,11.1
Республика Карелия,2019,278.338762214984,30854,7.1,20.0879478827362,392.4,9.7458,71.93,53.9,14.8,14.6,14.8,14.2,16.6
Республика Коми,2019,235.322777101096,35428,7.7,20.6881851400731,310.3,10.837,71.84,56.4,12.4,11.8,11.9,12.0,13.5
Республика Крым,2019,284.884937238494,22366,5.6,10.972280334728,197.2,5.8901,72.93,53.3,15.2,14.4,14.1,14.0,16.1
Республика Марий Эл,2019,262.150220913108,20877,4.1,11.419734904271,252.9,6.5305,73.49,54.0,13.2,12.4,12.7,12.0,14.4
Республика Мордовия,2019,286.708860759494,19748,4.3,10.2025316455696,321.4,5.1001,74.57,56.3,14.1,13.5,13.4,13.2,16.7
Республика Саха (Якутия),2019,175.0,45528,7.6,12.7438271604938,231.6,5.4679,73.41,57.6,8.4,8.1,7.8,7.8,9.3
Республика Северная Осетия – Алания,2019,237.302725968436,24522,13.6,13.6341463414634,307.7,0.5472,76.24,55.2,10.4,10.3,10.2,10.3,12.3
Республика Татарстан,2019,252.805534204458,35733,3.3,12.7694081475788,287.8,6.7012,75.72,55.2,11.6,11.3,11.4,11.0,13.9
Республика Тыва,2019,115.596330275229,16618,12.1,26.3792048929664,141.4,1.9976,68.26,53.7,9.8,8.7,8.8,8.3,9.4
